step,eval_return,actor_loss,critic_loss,alpha,elapsed_sec
5000,-0.5992524779915761,-0.44952571392059326,2.0456340312957764,0.1999400089991696,2.275
10000,-115.38978805595352,-4.989250183105469,1.8666577339172363,0.04994155896202034,75.022
15000,143.12741602942782,-6.010244369506836,2.56441593170166,0.014781622052855317,144.246
20000,877.4923189431407,-12.726123809814453,2.980177402496338,0.00837769490545369,214.791
25000,531.9675174885697,-16.930559158325195,4.29013729095459,0.011552842858796028,286.391
30000,1665.8727371418433,-24.799564361572266,5.520234107971191,0.01513093957273217,357.141
35000,774.6283565355377,-34.90164566040039,6.791528701782227,0.01963329118422008,433.254
40000,2148.7566130017753,-43.79988098144531,55.922576904296875,0.022945157274402862,512.141
45000,2223.549836372955,-57.02162170410156,16.107606887817383,0.028507576508296915,583.32
50000,2397.33738055061,-65.5009765625,92.60946655273438,0.0324940776232555,652.336
55000,2497.46693911344,-78.11830139160156,13.847286224365234,0.03630839601178471,718.719
60000,2488.098421749313,-89.06402587890625,12.311516761779785,0.04107030736090479,785.365
65000,3085.918757284937,-95.43196105957031,12.262701034545898,0.0476547642174265,850.755
70000,2784.591051221473,-106.7881851196289,13.957927703857422,0.05279612607608518,918.227
75000,3609.0002829929117,-115.4401626586914,16.5076904296875,0.058020566930414304,984.586
80000,3339.3908116276957,-117.99535369873047,16.349411010742188,0.06061114342838559,1051.613
85000,3657.5260707326975,-123.20309448242188,16.73130226135254,0.06938670771207564,1118.033
90000,3867.1310449498005,-135.49240112304688,18.34020233154297,0.07684679329750228,1185.484
95000,3873.7309108045038,-148.44296264648438,21.675561904907227,0.08515071390494686,1252.232
100000,4354.485937156906,-147.00997924804688,226.77468872070312,0.09435164152814966,1320.402
