step,eval_return,actor_loss,critic_loss,alpha,elapsed_sec
2000,-760.3366645990302,120.3284912109375,485.25811767578125,0.17683253127842993,11.725
4000,-810.5426056289729,216.07579040527344,2702.5205078125,0.2910794149590717,35.498
6000,-201.87176082465237,219.5999298095703,2481.1640625,0.4578330228737849,59.612
8000,-314.4604729948513,192.01678466796875,1953.7156982421875,0.7645250383374986,82.505
10000,-149.5943338628262,159.05706787109375,817.313232421875,1.1964722857712207,107.495
12000,-124.59558846205512,108.04845428466797,1787.483154296875,1.4998144992752371,131.158
14000,-99.07692978245959,93.9503173828125,2166.06689453125,1.334654517352289,154.323
16000,-99.97333350043748,73.05148315429688,372.635009765625,1.0801409344076256,178.927
18000,-99.37989658889674,66.5450439453125,829.4240112304688,0.870048909558325,203.02
20000,-99.90666435210812,52.0644645690918,211.57679748535156,0.7721845214989193,226.528
22000,-99.11394152317406,42.42646408081055,958.8233642578125,0.6859170491535325,250.708
24000,-99.00919799252401,51.92018127441406,780.7588500976562,0.6196891069625251,274.87
26000,-99.0154603675281,38.664947509765625,403.0826110839844,0.6003765337680459,298.917
28000,-98.68198688801881,38.427371978759766,551.8049926757812,0.5834835388051316,322.98
30000,-98.6713016246842,30.817058563232422,493.98480224609375,0.5555461042776,346.858
