step,eval_return,actor_loss,critic_loss,alpha,elapsed_sec
2000,-1510.0904653641392,31.753681182861328,0.7555410861968994,0.15355603856517044,12.176
4000,-373.1950869402133,82.17001342773438,104.2752685546875,0.12088158841108408,36.984
6000,-260.9811381370996,96.46601867675781,15.512669563293457,0.16128812934204179,61.079
8000,-335.723604467923,100.11836242675781,10.764293670654297,0.2141670642711648,85.737
10000,-152.42968426546201,95.26837921142578,9.29682445526123,0.24967161915862246,109.446
12000,-125.98939369405,83.40497589111328,19.511547088623047,0.2194946129637647,133.595
14000,-124.99576759019519,87.94474029541016,13.962329864501953,0.22430247098750344,159.651
16000,-100.11674368064635,67.54597473144531,16.098899841308594,0.21337016014924998,183.141
18000,-98.98451486340839,74.79535675048828,12.457294464111328,0.18219750215537434,207.542
20000,-98.63889516164073,66.93583679199219,350.65142822265625,0.17121788219801054,231.712
22000,-99.15576434079655,49.79306411743164,10.134393692016602,0.1821055768508699,254.956
24000,-98.84996134285345,46.29911422729492,266.5260009765625,0.14801360991086412,278.68
26000,-98.55421324685696,41.75527572631836,5.552136421203613,0.12565585861190476,303.666
28000,-99.03208082350227,35.06547546386719,4.380378246307373,0.10652988072593747,328.07
30000,-98.57013001649985,31.414852142333984,6.848084449768066,0.09261471351127352,352.235
