step,eval_return,actor_loss,critic_loss,alpha,elapsed_sec
5000,-0.5971199326555715,-0.06987624615430832,6.864048957824707,0.1999400089991696,2.476
10000,-201.46004393937463,9.292012214660645,16.773170471191406,0.0530085747844963,72.434
15000,-204.9801461477194,14.749736785888672,10.809539794921875,0.021737839001969263,140.064
20000,95.26172577615748,13.054534912109375,10.828203201293945,0.01598020337426047,205.986
25000,887.4134974681574,9.037775993347168,13.034531593322754,0.018989219740757367,273.908
30000,1815.692975047612,-8.178032875061035,37.35746765136719,0.04236059284233446,340.655
35000,169.90754368617797,-36.36867904663086,159.89031982421875,0.0648393368173274,405.923
40000,2888.811698351568,-44.00146484375,115.8203125,0.07740922340611285,471.58
45000,3408.5825370417624,-65.57440948486328,338.149658203125,0.09469727821547806,536.501
50000,3727.3074672972593,-77.03771209716797,471.96356201171875,0.11430287548880022,601.772
55000,2184.5697895434027,-100.72248840332031,229.69175720214844,0.12465236427326755,666.186
60000,3671.4238966842836,-100.22317504882812,219.58497619628906,0.14825170553216657,731.587
65000,2509.2766109092618,-128.2660675048828,172.46200561523438,0.16642646545441567,797.73
70000,4395.312863213288,-130.05703735351562,151.5578155517578,0.1760161867451767,861.914
75000,4059.6822389244603,-142.2643585205078,220.0290069580078,0.19836689013765463,926.503
80000,4375.751330182031,-138.25967407226562,236.77740478515625,0.22032293565743294,991.324
85000,4239.905681089668,-151.04441833496094,164.06893920898438,0.23556398455887687,1057.189
90000,4266.262205694142,-156.8068084716797,190.16757202148438,0.2530101295590028,1123.449
95000,4415.42581111101,-175.3314208984375,462.080078125,0.2679628043529894,1190.446
100000,4578.905840241691,-167.429443359375,736.8592529296875,0.28039100106352893,1256.26
